frame,object_id,lat_dist,long_dist,abs_vel,rel_vel,is_cipv,lane_association,lane_right_boundary,lane_left_boundary,ego_vel,ego_acc,ego_yaw
1000450000,3702,-0.013163234,36.59032822,2.263535261,1.265236616,1,1,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
1000450000,3708,-0.023678092,77.12475586,3.108922243,2.11062336,0,1,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
1000450000,3701,3.480689287,56.44919205,2.173086643,1.174787879,0,3,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
1000450000,3705,-0.018206002,55.51566696,0.385874063,-0.612424791,0,1,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
1000450000,3709,-3.524600744,75.52632904,1.22406137,0.225762516,0,2,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
1000450000,3706,-3.518553972,55.73191833,0.302034557,-0.696264267,0,2,-1.750017405,1.750017405,0.998298883,4.730318546,-0.083687179
1000500000,3703,-3.511346817,43.60301971,6.660321712,5.686533928,0,2,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000500000,3698,3.49169445,28.88279343,6.169048786,5.195260525,0,3,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000500000,3702,-0.0107512,36.65789413,2.408230782,1.434442639,1,1,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000500000,3708,-0.019470349,77.23858643,3.378740788,2.404953241,0,1,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000500000,3701,3.484241962,56.50984192,2.241080999,1.267292857,0,3,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000500000,3705,-0.014613017,55.48775864,0.493165463,-0.480622441,0,1,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000500000,3709,-3.520630836,75.54307556,1.387127995,0.413340062,0,2,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000500000,3706,-3.514932871,55.70787811,0.640939116,-0.332848817,0,2,-1.750017405,1.750017405,0.973787963,-0.490219176,-0.084848307
1000550000,3703,-3.528292894,43.84716797,5.64810276,4.424947739,0,2,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000550000,3698,3.479950666,29.13544083,6.31863308,5.095478058,0,3,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000550000,3702,-0.025046693,36.72272491,2.520900249,1.297744751,1,1,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000550000,3708,-0.047602925,77.35639954,3.657108068,2.43395257,0,1,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000550000,3701,3.463016748,56.56879425,2.426990271,1.203834891,0,3,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000550000,3705,-0.035478979,55.46336746,0.809296608,-0.413858831,0,1,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000550000,3709,-3.54798913,75.55657196,1.522133589,0.29897815,0,2,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000550000,3706,-3.535604954,55.68917084,0.933987498,-0.289167881,0,2,-1.750017405,1.750017405,1.223155379,4.987349033,-0.077977352
1000600000,3703,-3.569666147,44.02471542,4.301309586,3.0026021,0,2,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000600000,3698,3.451067209,29.40135384,6.76542902,5.466722488,0,3,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000600000,3702,-0.060299903,36.79081726,2.670013428,1.371306062,1,1,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000600000,3708,-0.117588557,77.48320007,3.92662549,2.627918243,0,1,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000600000,3701,3.410883188,56.63099289,2.499320507,1.200613022,0,3,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000600000,3705,-0.087087885,55.44823837,0.9326033,-0.366103947,0,1,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000600000,3709,-3.617027998,75.57134247,1.663184524,0.364477277,0,2,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000600000,3706,-3.586666346,55.67595291,1.089678288,-0.209029064,0,2,-1.750749826,1.749284983,1.298707128,1.511127353,-0.06052832
1000650000,3703,-3.583734035,44.13805771,2.938958168,1.75129056,0,2,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000650000,3698,3.440476894,29.69263077,7.206789494,6.019122124,0,3,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000650000,3702,-0.072065838,36.86658859,2.787992239,1.600324512,1,1,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000650000,3708,-0.142484456,77.62574005,4.184981346,2.997313499,0,1,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000650000,3701,3.393043995,56.7005806,2.679471254,1.491804004,0,3,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000650000,3705,-0.104672812,55.43434143,0.994039953,-0.193627626,0,1,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000650000,3709,-3.640515327,75.59669495,1.826745033,0.639077425,0,2,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000650000,3706,-3.605261326,55.67081451,1.201479912,0.013812303,0,2,-1.751238108,1.748796701,1.187667608,-2.220759869,-0.054552187
1000700000,3703,-3.588165283,44.18287659,1.574956298,0.29625091,0,2,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000700000,3698,3.437050104,30.00043488,7.46305275,6.184347153,0,3,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000700000,3702,-0.07580886,36.94895935,2.942765236,1.664059997,1,1,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000700000,3708,-0.149160668,77.78068542,4.43604517,3.157339811,0,1,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000700000,3701,3.387552261,56.77524948,2.755402565,1.476697206,0,3,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000700000,3705,-0.109661706,55.42903519,1.283718467,0.005013083,0,1,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000700000,3709,-3.647274733,75.63188171,2.01819849,0.739493251,0,2,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000700000,3706,-3.610508919,55.66914749,1.186077833,-0.092627481,0,2,-1.750993967,1.749040842,1.278705359,1.820754647,-0.052932985
1000750000,3703,-3.58864522,44.16176224,0.236127049,-0.933321655,0,2,-1.750749826,1.749284983,1.169448733,-2.185137987,-0.052741237
1000750000,3698,3.436326027,30.31471634,7.481426239,6.311977386,0,3,-1.750749826,1.749284983,1.169448733,-2.185137987,-0.052741237
1000750000,3702,-0.076414511,37.03907394,3.066037178,1.896588564,1,1,-1.750749826,1.749284983,1.169448733,-2.185137987,-0.052741237
1000750000,3708,-0.150475025,77.94940948,4.682245255,3.51279664,0,1,-1.750749826,1.749284983,1.169448733,-2.185137987,-0.052741237
1000750000,3701,3.386692762,56.85732269,2.929783344,1.760334373,0,3,-1.750749826,1.749284983,1.169448733,-2.185137987,-0.052741237
1000750000,3705,-0.110648677,55.4402504,1.54526794,0.375819296,0,1,-1.750749826,1.749284983,1.169448733,-2.185137987,-0.052741237
1000750000,3709,-3.648367167,75.67775726,2.218035936,1.048587203,0,2,-1.750749826,1.749284983,1.169448733,-2.185137987,-0.052741237
